MUNICIPALITY,LAST_NAME,FIRST_NAME,OFFICE_FILLED,VOTES_FOR_CANDIDATE,VOTES_FOR_OFFICE,ELECTED_OR_ACCLAIMED,COUNCIL_INCUMBENT,OFFICE_INCUMBENT,OFFICE_SUBJECT_TO_RECOUNT
Markham C,Lee,Isa,Local Councillor,6549,8104,Elected,Yes,Yes,No
Markham C,Yeung Collucci,Amanda,Local Councillor,4921,6252,Elected,Yes,Yes,No
Markham C,Keyes,Andrew,Local Councillor,5120,7025,Elected,Yes,Yes,No
Markham C,McAlpine,Reid,Local Councillor,5007,8823,Elected,Yes,Yes,No
Markham C,Rea,Karen,Local Councillor,8563,9285,Elected,Yes,Yes,No
Markham C,Lau,Ritch,Local Councillor,3012,8283,Elected,No,No,No
Markham C,Nathan,Juanita,Local Councillor,5388,11283,Elected,No,No,No
Markham C,Jones,Jim,Local and Regional Councillor,26578,208880,Elected,Yes,Yes,No
Markham C,Li,Joe,Local and Regional Councillor,25823,208880,Elected,Yes,Yes,No
Markham C,Chan,Michael,Local and Regional Councillor,30095,208880,Elected,No,No,No
Markham C,Ho,Alan,Local and Regional Councillor,24735,208880,Elected,Yes,No,No
Markstay-Warren M,Whynott,Ned,Mayor,,,Acclaimed,Yes,No,No
Markstay-Warren M,Olsen,Steven,Local Councillor,406,2267,Elected,Yes,Yes,No
Markstay-Warren M,Kotanko,Tyler,Local Councillor,270,2267,Elected,No,No,No
Markstay-Warren M,Leslie,Thomas,Local Councillor,243,2267,Elected,No,No,No
Markstay-Warren M,Poirier,Rachelle,Local Councillor,427,2267,Elected,No,No,No
Marmora and Lake M,O'Neill,Jan,Mayor,1097,1794,Elected,Yes,Yes,No
Marmora and Lake M,Derry,Ron,Local Councillor,661,4875,Elected,Yes,Yes,No
Marmora and Lake M,Lakatos,Jane,Local Councillor,839,4875,Elected,No,No,No
Marmora and Lake M,Daoust,Eric,Local Councillor,934,4875,Elected,No,No,No
Marmora and Lake M,Stevens,Mike,Deputy Mayor,1141,1788,Elected,Yes,Yes,No
Matachewan Tp,Stickel,Mark,Mayor,146,188,Elected,Yes,No,No
Matachewan Tp,Young,Michael,Local Councillor,107,752,Elected,Yes,Yes,No
Matachewan Tp,Stewart,Emily,Local Councillor,102,752,Elected,No,No,No
Matachewan Tp,Drummond,Cheryl,Local Councillor,90,752,Elected,No,No,No
Matachewan Tp,Gilbert,Dianne,Local Councillor,72,752,Elected,No,No,No
Mattawa T,Belanger,Raymond A.,Mayor,554,703,Elected,No,No,No
Mattawa T,Mick,Loren,Local Councillor,327,2964,Elected,Yes,Yes,No
Mattawa T,Ross,Laura,Local Councillor,325,2964,Elected,Yes,Yes,No
Mattawa T,Sarrazin,Dexture,Local Councillor,396,2964,Elected,Yes,Yes,No
Mattawa T,Thibert,Garry,Local Councillor,319,2964,Elected,Yes,Yes,No
Mattawa T,Levesque,Fern,Local Councillor,341,2964,Elected,No,No,No
Mattawa T,Gardiner,Mathew,Local Councillor,441,2964,Elected,No,No,No
Mattawan M,Murphy,Peter,Mayor,,,Acclaimed,Yes,Yes,No
Mattawan M,Bell,Beverly,Local Councillor,59,448,Elected,Yes,Yes,No
Mattawan M,Lahaye,Michelle,Local Councillor,55,448,Elected,Yes,Yes,No
Mattawan M,Lemaire,Donald,Local Councillor,64,448,Elected,Yes,Yes,No
Mattawan M,Edwards,Clwyd,Local Councillor,57,448,Elected,No,No,No
Mattice - Val Cote Tp,Dupuis,Marc,Mayor,189,292,Elected,Yes,Yes,No
Mattice - Val Cote Tp,Brousseau,Steve,Local Councillor,,,Acclaimed,Yes,Yes,No
Mattice - Val Cote Tp,Malenfant,Joyce,Local Councillor,,,Acclaimed,Yes,Yes,No
Mattice - Val Cote Tp,Gagnon,Sophie,Local Councillor,,,Acclaimed,No,No,No
Mattice - Val Cote Tp,Manning,Reginald,Local Councillor,,,Acclaimed,No,No,No
McDougall Tp,Robinson,Dale,Mayor,933,1500,Elected,Yes,Yes,No
McDougall Tp,Constable,Joel,Local Councillor,995,5167,Elected,Yes,Yes,No
McDougall Tp,Ryman,Joe,Local Councillor,871,5167,Elected,Yes,Yes,No
McDougall Tp,Blower,JJ,Local Councillor,850,5167,Elected,No,No,No
McDougall Tp,Hamer,Kathy,Local Councillor,1051,5167,Elected,No,No,No
McGarry Tp,McLean,Stephen,Mayor,198,355,Elected,No,No,No
McGarry Tp,Culhane,Bonita,Local Councillor,159,1420,Elected,Yes,Yes,No
McGarry Tp,Weller,Wendy,Local Councillor,189,1420,Elected,Yes,Yes,No
McGarry Tp,Plante,Francine,Local Councillor,259,1420,Elected,No,No,No
McGarry Tp,Truchon,Jean,Local Councillor,189,1420,Elected,No,No,No
McKellar Tp,Moore,David,Mayor,671,1589,Elected,No,No,No
McKellar Tp,Haskim,Morley,Local Councillor,799,5563,Elected,Yes,Yes,No
McKellar Tp,Kekkonen,Mike,Local Councillor,893,5563,Elected,Yes,Yes,No
McKellar Tp,Zulak,Debbie,Local Councillor,802,5563,Elected,No,No,No
McKellar Tp,Ryeland,Nick,Local Councillor,697,5563,Elected,Yes,Yes,No
McMurrich-Monteith Tp,Robinson,Glynn,Reeve,391,629,Elected,No,No,No
McMurrich-Monteith Tp,O'Halloran,Daniel,Local Councillor,315,2193,Elected,Yes,Yes,No
McMurrich-Monteith Tp,Roeder-Martin,Vicky,Local Councillor,410,2193,Elected,No,No,No
McMurrich-Monteith Tp,Currie,Terry,Local Councillor,239,2193,Elected,No,No,Yes
McMurrich-Monteith Tp,Dyson,Wesley,Local Councillor,308,2193,Elected,No,No,No
McNab-Braeside Tp,Mackenzie,Mark,Mayor,1363,,Elected,No,No,No
McNab-Braeside Tp,Brum,Scott,Local Councillor,1546,,Elected,Yes,Yes,No
McNab-Braeside Tp,Campbell,Robert,Local Councillor,1209,,Elected,No,No,No
McNab-Braeside Tp,Rosien,Kevin,Local Councillor,1559,,Elected,No,No,No
McNab-Braeside Tp,Hoddinott,Lori,Deputy Mayor,1598,,Elected,No,No,No
Meaford M,Kentner,Ross,Mayor,2063,3896,Elected,Yes,No,No
Meaford M,Bartley,Steve,Local Councillor,2328,3896,Elected,Yes,Yes,No
Meaford M,Bell,Tony,Local Councillor,2016,3896,Elected,Yes,Yes,No
Meaford M,Greenfield,Harley,Local Councillor,2248,3896,Elected,Yes,Yes,No
Meaford M,Forder,Brandon,Local Councillor,1936,3896,Elected,No,No,No
Meaford M,Uhrig,Robert,Local Councillor,1818,3896,Elected,No,No,No
Meaford M,Keaveney,Shirley,Deputy Mayor,,,Acclaimed,Yes,Yes,No
Melancthon Tp,White,Darren,Mayor,629,827,Elected,Yes,Yes,No
Melancthon Tp,Neilson,Bill,Local Councillor,471,2157,Elected,Yes,Yes,No
Melancthon Tp,Moore,Ralph,Local Councillor,393,2157,Elected,No,No,No
Melancthon Tp,Plowright,Ruth,Local Councillor,470,2157,Elected,No,No,No
Melancthon Tp,McLean,James,Deputy Mayor,688,825,Elected,Yes,No,No
Merrickville-Wolford V,Cameron,Michael,Mayor,680,1536,Elected,Yes,No,No
Merrickville-Wolford V,Ireland,Stephen,Local Councillor,424,1635,Elected,Yes,Yes,No
Merrickville-Wolford V,Gural,Margaret,Local Councillor,388,1145,Elected,No,No,No
Merrickville-Wolford V,Maitland,Ronnie,Local Councillor,567,1635,Elected,No,No,No
Merrickville-Wolford V,Oldfield,Mark,Local Councillor,324,1145,Elected,No,No,No
Middlesex Centre M,DeViet,Aina,Mayor,,,Acclaimed,Yes,Yes,No
Middlesex Centre M,Cates,Sue,Local Councillor,903,987,Elected,Yes,Yes,No
Middlesex Centre M,Aerts,Hugh,Local Councillor,,,Acclaimed,Yes,Yes,No
Middlesex Centre M,Heffernan,Debbie,Local Councillor,615,1115,Elected,Yes,Yes,No
Middlesex Centre M,Shipley,Wayne,Local Councillor,312,584,Elected,Yes,Yes,No
Middlesex Centre M,Berze,Frank,Local Councillor,483,834,Elected,No,No,No
Middlesex Centre M,Brennan,John,Deputy Mayor,,,Acclaimed,Yes,Yes,No
Midland T,Gordon,Bill,Mayor,2467,5043,Elected,Yes,No,No
Midland T,Downer,Jim,Local Councillor,2157,26330,Elected,Yes,Yes,No
Midland T,Prost,Beth Marie,Local Councillor,2384,26330,Elected,Yes,Yes,No
Midland T,Bald,Roberta,Local Councillor,1718,26330,Elected,No,No,No
Midland T,Ball,Jamie-Lee,Local Councillor,2064,26330,Elected,No,No,No
Midland T,East,Sheldon,Local Councillor,1984,26330,Elected,No,No,No
Midland T,MacDonald,Catherine E.,Local Councillor,2710,26330,Elected,No,No,No
Midland T,Meridis,Bill,Local Councillor,2258,26330,Elected,No,No,No
Midland T,Contin,Jack,Deputy Mayor,2817,4954,Elected,No,No,No
Milton T,Krantz,Gord,Mayor,11391,,Elected,Yes,Yes,No
Milton T,Challinor,John,Local Councillor,3542,,Elected,Yes,Yes,No
Milton T,Tesser Derksen,Kristina,Local Councillor,4200,,Elected,Yes,Yes,No
Milton T,Khalqi,Adil,Local Councillor,2067,,Elected,No,No,No
Milton T,Marshall,Sarah,Local Councillor,1041,,Elected,No,No,No
Milton T,Best,Colin,Local and Regional Councillor,,,Acclaimed,Yes,Yes,No
Milton T,Malboeuf,Rick,Local and Regional Councillor,,,Acclaimed,Yes,Yes,No
Milton T,Ali,Sameera,Local and Regional Councillor,3279,,Elected,Yes,No,No
Milton T,Ijaz,Sammy,Local and Regional Councillor,2182,,Elected,No,No,No
Minden Hills Tp,Carter,Bob,Mayor,,,Acclaimed,Yes,No,
Minden Hills Tp,Sayne,Pam,Local Councillor,529,,Elected,Yes,Yes,
Minden Hills Tp,McKelvey,Tammy,Local Councillor,1843,,Elected,No,No,
Minden Hills Tp,Ingram,Ivan,Local Councillor,1238,,Elected,No,No,
Minden Hills Tp,Johannessen,Shirley,Local Councillor,736,,Elected,No,No,
Minden Hills Tp,Sisson,Bob,Local Councillor,,,Acclaimed,No,No,
Minden Hills Tp,Schell,Lisa,Deputy Mayor,,,Acclaimed,Yes,Yes,
Minto T,Turton,Dave,Mayor,,,Acclaimed,Yes,No,No
Minto T,Dirksen,Judy,Local Councillor,,,Acclaimed,Yes,Yes,No
Minto T,Elliott,Ron B.,Local Councillor,,,Acclaimed,Yes,Yes,No
Minto T,Gunson,Geoff,Local Councillor,,,Acclaimed,Yes,Yes,No
Minto T,Zimmerman,Paul,Local Councillor,,,Acclaimed,No,No,No
Minto T,Podniewicz,Ed,Local Councillor,,,Acclaimed,No,No,No
Minto T,Anderson,Jean,Deputy Mayor,,,Acclaimed,Yes,No,No
Mississauga C,Crombie,Bonnie,Mayor,82736,105432,Elected,Yes,Yes,No
Mississauga C,Damerla,Dipika,Local and Regional Councillor,4969,8995,Elected,Yes,Yes,No
Mississauga C,Dasko,Stephen,Local and Regional Councillor,5552,7925,Elected,Yes,Yes,No
Mississauga C,Fonseca,Chris,Local and Regional Councillor,6767,9360,Elected,Yes,Yes,No
Mississauga C,Kovac,John,Local and Regional Councillor,5748,8476,Elected,Yes,Yes,No
Mississauga C,Mahoney,Matt,Local and Regional Councillor,8002,9964,Elected,Yes,Yes,No
Mississauga C,McFadden,Sue,Local and Regional Councillor,6960,11402,Elected,Yes,Yes,No
Mississauga C,Parrish,Carolyn,Local and Regional Councillor,5631,8307,Elected,Yes,Yes,No
Mississauga C,Tedjo,Alvin,Local and Regional Councillor,3722,9078,Elected,No,No,No
Mississauga C,Horneck,Joe,Local and Regional Councillor,7085,11762,Elected,No,No,No
Mississauga C,Reid,Martin,Local and Regional Councillor,2793,10743,Elected,No,No,No
Mississauga C,Butt,Brad,Local and Regional Councillor,3864,9381,Elected,No,No,No
Mississippi Mills M,Lowry,Christa,Mayor,,,Acclaimed,Yes,Yes,No
Mississippi Mills M,Ferguson,Denzil,Local Councillor,,,Acclaimed,Yes,Yes,No
Mississippi Mills M,Holmes,Bev,Local Councillor,1194,2990,Elected,Yes,Yes,
Mississippi Mills M,Torrance,Jane,Local Councillor,1564,5402,Elected,No,No,
Mississippi Mills M,Lowe,Vicki,Local Councillor,1138,2990,Elected,No,No,
Mississippi Mills M,Souter,Mary Lou,Local Councillor,1740,5402,Elected,No,No,
Mississippi Mills M,Minnille,Rickey,Deputy Mayor,2099,5051,Elected,Yes,Yes,
Mono T,Creelman,John,Mayor,,,Acclaimed,Yes,Yes,No
Mono T,Manktelow,Ralph,Local Councillor,988,4869,Elected,Yes,Yes,No
Mono T,Davie,Melinda,Local Councillor,656,4869,Elected,Yes,Yes,No
Mono T,Capes,Elaine,Local Councillor,637,4869,Elected,No,No,No
Mono T,Nix,Fred,Deputy Mayor,,,Acclaimed,Yes,Yes,No
Montague Tp,Jennings,Karen,Reeve,638,1362,Elected,Yes,No,No
Montague Tp,Abbass,Jim,Local Councillor,,,Acclaimed,No,No,No
Montague Tp,Kenny,Morgan,Local Councillor,,,Acclaimed,No,No,No
Montague Tp,Crabtree,Gerald,Local Councillor,,,Acclaimed,No,No,No
Montague Tp,Carroll,Jeffrey,Deputy Reeve,493,1358,Elected,Yes,No,No
Moonbeam Tp,Côté,Eric,Mayor,319,600,Elected,Yes,No,No
Moonbeam Tp,Le Saux Néron,Hélène,Local Councillor,314,1888,Elected,Yes,Yes,No
Moonbeam Tp,Gibson Demers,Jessica,Local Councillor,320,1888,Elected,Yes,Yes,No
Moonbeam Tp,Della Pieta,Jacques,Local Councillor,335,1888,Elected,No,No,No
Moonbeam Tp,Morin,Nadine,Local Councillor,270,1888,Elected,No,No,No
Moosonee T,Taipale,Wayne,Mayor,226,435,Elected,Yes,Yes,No
Moosonee T,Birnie,Theresa,Local Councillor,266,1610,Elected,Yes,Yes,No
Moosonee T,Tozer,Carman,Local Councillor,279,1610,Elected,Yes,Yes,No
Moosonee T,Ross,Sheldon,Local Councillor,313,1610,Elected,No,No,No
Moosonee T,Ryder,Diane,Local Councillor,229,1610,Elected,No,No,No
Morley Tp,Advent,Telford,Reeve,107,206,Elected,No,No,No
Morley Tp,Armstrong,Anthony,Local Councillor,81,210,Elected,Yes,Yes,No
Morley Tp,McCormick,Andrew,Local Councillor,90,210,Elected,Yes,Yes,No
Morley Tp,Brown,Paul,Local Councillor,87,210,Elected,No,No,No
Morley Tp,Beal,Jamie,Local Councillor,131,210,Elected,No,No,No
Morris-Turnberry M,Heffer,Jamie,Mayor,,,Acclaimed,Yes,Yes,No
Morris-Turnberry M,Freiburger,Kevin,Local Councillor,720,1033,Elected,Yes,Yes,Yes
Morris-Turnberry M,McCallum,Jamie,Local Councillor,689,1033,Elected,Yes,Yes,Yes
Morris-Turnberry M,Zinn,Sharen,Local Councillor,590,1033,Elected,Yes,Yes,Yes
Morris-Turnberry M,Snell,Jodi,Local Councillor,587,1033,Elected,No,No,Yes
Mulmur Tp,Horner,Janet,Mayor,,,Acclaimed,Yes,Yes,No
Mulmur Tp,Cunningham,Andrew,Local Councillor,854,3216,Elected,Yes,Yes,No
Mulmur Tp,Clark,Patricia,Local Councillor,877,3216,Elected,Yes,Yes,No
Mulmur Tp,Lyon,Kim,Local Councillor,592,3216,Elected,No,No,No
Mulmur Tp,Hawkins,Earl,Deputy Mayor,708,1305,Elected,Yes,Yes,No
Muskoka Lakes Tp,Kelley,Peter,Mayor,3676,6098,Elected,Yes,No,No
Muskoka Lakes Tp,Mazan,Susan,Local Councillor,1559,1916,Elected,Yes,Yes,No
Muskoka Lakes Tp,Roberts,Gordon,Local Councillor,1371,1916,Elected,Yes,Yes,No
Muskoka Lakes Tp,Zavitz,Glenn,Local Councillor,983,1395,Elected,Yes,Yes,No
Muskoka Lakes Tp,McIntyre,Mary Ellen,Local Councillor,752,1395,Elected,No,No,No
Muskoka Lakes Tp,Bosomworth,Rob,Local Councillor,1782,2787,Elected,No,No,No
Muskoka Lakes Tp,Kent,Sally Moyer,Local Councillor,1780,2787,Elected,No,No,No
Muskoka Lakes Tp,Edwards,Allen,Local and District Councillor,,,Acclaimed,Yes,Yes,No
Muskoka Lakes Tp,Nishikawa,Ruth Ellen,Local and District Councillor,,,Acclaimed,Yes,Yes,No
Muskoka Lakes Tp,Burry,Guy,Local and District Councillor,,,Acclaimed,No,No,No
Nairn and Hyman Tp,Mazey,Amy,Mayor,152,198,Elected,No,No,No
Nairn and Hyman Tp,Despatie,Guy,Local Councillor,100,688,Elected,Yes,Yes,No
Nairn and Hyman Tp,MacDonald,Roderick,Local Councillor,89,688,Elected,Yes,Yes,No
Nairn and Hyman Tp,Austin,Wayne,Local Councillor,104,688,Elected,No,No,No
Nairn and Hyman Tp,McVey,Trevor,Local Councillor,129,688,Elected,No,No,No
Neebing M,Thibert,Mark Roger,Mayor,437,697,Elected,Yes,No,No
Neebing M,Coulson,Curtis,Local Councillor,,,Acclaimed,Yes,Yes,No
Neebing M,Cuthbertson,Gordon,Local Councillor,370,676,Elected,Yes,Yes,No
Neebing M,Gardner,Gary,Local Councillor,,,Acclaimed,Yes,Yes,No
Neebing M,Kurikka,Brian,Local Councillor,,,Acclaimed,Yes,Yes,No
Neebing M,Hill,Katherine,Local Councillor,173,308,Elected,No,No,No
Neebing M,Egbuchulam,Obie,Local Councillor,79,158,Elected,No,No,Yes
New Tecumseth T,Norcross,Richard,Mayor,4217,,Elected,Yes,No,No
New Tecumseth T,Foster,Paul,Local Councillor,649,,Elected,Yes,Yes,No
New Tecumseth T,Harrison McIntyre,Shira,Local Councillor,536,,Elected,Yes,Yes,No
New Tecumseth T,Rapin,Chris,Local Councillor,737,,Elected,No,No,No
New Tecumseth T,Gabrek,Wendy,Local Councillor,484,,Elected,No,No,No
New Tecumseth T,Masters,Alan,Local Councillor,889,,Elected,No,No,No
New Tecumseth T,Biss,Marc,Local Councillor,355,,Elected,No,No,No
New Tecumseth T,Cox,Nicole,Local Councillor,781,,Elected,No,No,No
New Tecumseth T,Jacks,Andrea,Local Councillor,777,,Elected,No,No,No
New Tecumseth T,MacLellan,Stephanie,Deputy Mayor,5159,,Elected,Yes,No,No
Newbury V,Brewer,Diane,Reeve,,,Acclaimed,Yes,Yes,No
Newbury V,Patton,Russell,Local Councillor,82,,Elected,Yes,Yes,No
Newbury V,Derbyshire,Kevin,Local Councillor,71,,Elected,No,No,No
Newbury V,Harris,Clyde,Local Councillor,73,,Elected,No,No,No
Newbury V,Smith,Randy,Local Councillor,72,,Elected,No,No,No
Newmarket T,Taylor,John,Mayor,,,Acclaimed,Yes,Yes,No
Newmarket T,Bisanz,Christina,Local Councillor,1687,2214,Elected,Yes,Yes,No
Newmarket T,Broome,Kelly,Local Councillor,1726,2459,Elected,Yes,Yes,No
Newmarket T,Kwapis,Bob,Local Councillor,,,Acclaimed,Yes,Yes,No
Newmarket T,Morrison,Trevor,Local Councillor,1222,2110,Elected,Yes,Yes,No
Newmarket T,Simon,Grace,Local Councillor,1899,2693,Elected,Yes,Yes,No
Newmarket T,Twinney,Jane,Local Councillor,,,Acclaimed,Yes,Yes,No
Newmarket T,Woodhouse,Victor,Local Councillor,1211,2243,Elected,Yes,Yes,No
Newmarket T,Vegh,Tom,Deputy Mayor,9396,14851,Elected,Yes,Yes,No
Niagara Falls C,Diodati,Jim,Mayor,12055,18067,Elected,Yes,Yes,No
Niagara Falls C,Campbell,Wayne,Local Councillor,6609,105934,Elected,Yes,Yes,No
Niagara Falls C,Lococo,Lori,Local Councillor,9667,105934,Elected,Yes,Yes,No
Niagara Falls C,Pietrangelo,Victor,Local Councillor,7239,105934,Elected,Yes,Yes,No
Niagara Falls C,Strange,Mike,Local Councillor,9788,105934,Elected,Yes,Yes,No
Niagara Falls C,Thomson,Wayne,Local Councillor,6294,105934,Elected,Yes,Yes,No
Niagara Falls C,Baldinelli,Tony,Local Councillor,7333,105934,Elected,No,No,No
Niagara Falls C,Nieuwesteeg,Ruth-Ann,Local Councillor,8642,105934,Elected,No,No,No
Niagara Falls C,Patel,Mona,Local Councillor,6433,105934,Elected,No,No,No
Niagara-on-the-Lake T,Zalepa,Gary,Mayor,3724,7578,Elected,No,No,No
Niagara-on-the-Lake T,O'Connor,Sandra,Local Councillor,3391,40540,Elected,Yes,Yes,No
Niagara-on-the-Lake T,Burroughs,Gary,Local Councillor,4273,40540,Elected,Yes,Yes,No
Niagara-on-the-Lake T,Cheropita,Wendy,Local Councillor,3774,40540,Elected,Yes,Yes,No
Niagara-on-the-Lake T,Wiens,Erwin,Local Councillor,4978,40540,Elected,Yes,Yes,No
Niagara-on-the-Lake T,Balasiuk,Tim,Local Councillor,3742,40540,Elected,No,No,No
Niagara-on-the-Lake T,Vizzari,Adriana,Local Councillor,3152,40540,Elected,No,No,No
Niagara-on-the-Lake T,Mavridis,Maria,Local Councillor,2897,40540,Elected,No,No,No
Niagara-on-the-Lake T,Ruller,Nick,Local Councillor,3318,40540,Elected,No,No,No
Nipigon Tp,Kukko,Suzanne,Mayor,415,666,Elected,No,No,No
Nipigon Tp,Mackenzie,Gordon,Local Councillor,414,666,Elected,No,No,No
Nipigon Tp,Pelletier,Pierre,Local Councillor,395,666,Elected,No,No,No
Nipigon Tp,Sakamoto,Kathy,Local Councillor,428,666,Elected,No,No,No
Nipigon Tp,Zechner,John Jr.,Local Councillor,503,666,Elected,Yes,Yes,No
Nipissing Tp,Piper,Tom,Mayor,,,Acclaimed,Yes,Yes,No
Nipissing Tp,Kirkey,Stephen,Local Councillor,216,659,Elected,Yes,Yes,Yes
Nipissing Tp,Butler,Tom,Local Councillor,173,659,Elected,No,No,Yes
Nipissing Tp,Foote,Shelly,Local Councillor,289,659,Elected,No,No,Yes
Nipissing Tp,Yemm,Dave,Local Councillor,486,659,Elected,No,No,Yes
Norfolk County,Martin,Amy,Mayor,8199,19401,Elected,Yes,No,No
Norfolk County,Vandendriessche,Linda,Local Councillor,1346,1664,Elected,Yes,Yes,No
Norfolk County,Columbus,Michael J.,Local Councillor,1616,1965,Elected,Yes,Yes,No
Norfolk County,Huffman,Kim,Local Councillor,1073,2367,Elected,Yes,Yes,No
Norfolk County,Masschaele,Tom,Local Councillor,1310,2031,Elected,Yes,Yes,No
Norfolk County,Van Paassen,Chris,Local Councillor,1108,2048,Elected,Yes,Yes,No
Norfolk County,Duthie,Alan,Local Councillor,2375,8340,Elected,No,No,No
Norfolk County,Brunton,Doug,Local Councillor,1906,8340,Elected,No,No,No
Norfolk County,Veri,Adam,Local Councillor,2654,4147,Elected,No,No,No
North Algona-Wilberforce Tp,Brose,James,Mayor,1220,1512,Elected,Yes,Yes,No
North Algona-Wilberforce Tp,Berndt,Melvin,Local Councillor,927,5002,Elected,Yes,Yes,No
North Algona-Wilberforce Tp,Buckwald,Doug,Local Councillor,989,5002,Elected,Yes,Yes,No
North Algona-Wilberforce Tp,Reiche-Schoenfeldt,Janet,Local Councillor,1257,5002,Elected,Yes,Yes,No
North Algona-Wilberforce Tp,Robinson,Maria,Local Councillor,1119,5002,Elected,Yes,Yes,No
North Bay C,Chirico,Peter,Mayor,7579,15555,Elected,No,No,No
North Bay C,Bain,Mac,Local Councillor,4529,18707,Elected,Yes,Yes,No
North Bay C,King,Mark,Local Councillor,5789,18707,Elected,Yes,Yes,No
North Bay C,Mayne,Chris,Local Councillor,5792,18707,Elected,Yes,Yes,No
North Bay C,Vrebosch,Tanya,Local Councillor,4880,18707,Elected,Yes,Yes,No
North Bay C,Gardiner,Gary,Local Councillor,4553,18707,Elected,No,No,No
North Bay C,Lowery,James,Local Councillor,4815,18707,Elected,No,No,No
North Bay C,Mallah,Justine,Local Councillor,5863,18707,Elected,No,No,No
North Bay C,Horsfield,Margaret,Local Councillor,6324,18707,Elected,No,No,No
North Bay C,Inch,Sara,Local Councillor,5462,18707,Elected,No,No,No
North Bay C,Mitchell,Lana,Local Councillor,6251,18707,Elected,No,No,No
North Dumfries Tp,Foxton,Susan,Mayor,,,Acclaimed,Yes,Yes,No
North Dumfries Tp,Rolleman,Rodney,Local Councillor,358,649,Elected,Yes,Yes,No
North Dumfries Tp,Ostner,Derrick,Local Councillor,,,Acclaimed,Yes,Yes,No
North Dumfries Tp,Wilms,Alida,Local Councillor,,,Acclaimed,No,No,No
North Dumfries Tp,Tilley,Scott,Local Councillor,,,Acclaimed,No,No,No
North Dundas Tp,Fraser,Tony,Mayor,,,Acclaimed,Yes,Yes,No
North Dundas Tp,Annable,Gary,Local Councillor,1910,5184,Elected,Yes,Yes,No
North Dundas Tp,Uhrig,Matthew,Local Councillor,1595,5184,Elected,No,No,No
North Dundas Tp,Lennox,John,Local Councillor,1434,5184,Elected,No,No,No
North Dundas Tp,Bergeron,Theresa,Deputy Mayor,,,Acclaimed,Yes,No,No
North Frontenac Tp,Lichty,Gerry,Mayor,1211,2107,Elected,No,No,No
North Frontenac Tp,Fowler,Fred,Local Councillor,335,807,Elected,Yes,Yes,No
North Frontenac Tp,Good,Wayne,Local Councillor,430,1304,Elected,Yes,Yes,No
North Frontenac Tp,Inglis,John,Local Councillor,283,807,Elected,Yes,Yes,No
North Frontenac Tp,Martin,Gerry,Local Councillor,478,1372,Elected,Yes,Yes,No
North Frontenac Tp,Regent,Stephanie,Local Councillor,468,1304,Elected,No,No,No
North Frontenac Tp,Huetl,Roy,Local Councillor,515,1372,Elected,No,No,No
North Glengarry Tp,MacDonald,Jamie,Mayor,,,Acclaimed,Yes,Yes,No
North Glengarry Tp,Madden,Michael,Local Councillor,,,Acclaimed,Yes,Yes,No
North Glengarry Tp,Manley,Jeff,Local Councillor,613,711,Elected,Yes,Yes,No
North Glengarry Tp,Massie,Jacques,Local Councillor,,,Acclaimed,Yes,Yes,No
North Glengarry Tp,Caddell,Brian,Local Councillor,473,807,Elected,No,No,No
North Glengarry Tp,Martin,Gary,Local Councillor,181,321,Elected,No,No,No
North Glengarry Tp,Williams,Carma,Deputy Mayor,,,Acclaimed,Yes,Yes,No
North Grenville M,Peckford,Nancy,Mayor,4410,5856,Elected,Yes,Yes,No
North Grenville M,Wilson,Deb,Local Councillor,3032,,Elected,Yes,Yes,No
North Grenville M,Strackerjan,Kristin-Elke,Local Councillor,2592,,Elected,Yes,Yes,No
North Grenville M,Barclay,John,Local Councillor,3438,,Elected,Yes,Yes,No
North Grenville M,O'Sullivan,Doreen,Local Councillor,3201,,Elected,Yes,Yes,No
North Huron Tp,Heffer,Paul,Reeve,810,1827,Elected,Yes,No,No
North Huron Tp,Falconer,Kevin,Local Councillor,,,Acclaimed,Yes,Yes,No
North Huron Tp,McBurney,Ric,Local Councillor,,,Acclaimed,Yes,Yes,No
North Huron Tp,Palmer,Chris,Local Councillor,286,830,Elected,Yes,Yes,No
North Huron Tp,van Hittersum,Anita,Local Councillor,277,830,Elected,Yes,Yes,No
North Huron Tp,Whitfield,Lonnie,Local Councillor,527,1997,Elected,No,No,No
North Huron Tp,Wright,Mitch,Local Councillor,820,1997,Elected,No,No,No
North Kawartha Tp,Amyotte,Carolyn,Mayor,,,Acclaimed,Yes,Yes,No
North Kawartha Tp,O'Shea,Jim,Local Councillor,642,966,Elected,Yes,Yes,No
North Kawartha Tp,McLellan,Colin,Local Councillor,467,1019,Elected,Yes,Yes,No
North Kawartha Tp,McIlmoyl,RuthAnne,Local Councillor,1120,1927,Elected,No,No,No
North Kawartha Tp,Whelan,Jim,Deputy Mayor,,,Acclaimed,Yes,Yes,No
North Middlesex M,Ropp,Brian,Mayor,,,Acclaimed,Yes,Yes,No
North Middlesex M,Cornelissen,Adrian,Local Councillor,,,Acclaimed,Yes,No,No
North Middlesex M,Keogh,John,Local Councillor,,,Acclaimed,Yes,Yes,No
North Middlesex M,Nirta,Sara,Local Councillor,325,325,Elected,No,No,No
North Middlesex M,Irwin,Bill,Local Councillor,164,164,Elected,No,No,No
North Middlesex M,Daigle,Charles,Local Councillor,,,Acclaimed,No,No,No
North Middlesex M,Hodgins,Paul,Deputy Mayor,,,Acclaimed,No,No,No
